date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:08	87010/87010	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Mar%202022%2003:33:46%20GMT	https://freedspace.com.au/	C:/My%20Web%20Sites/feedspace/freedspace.com.au/index.html	(from )
17:32:09	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2024%20Mar%202022%2012:02:08%20GMT	https://freedspace.com.au/robots.txt		(from )
17:32:12	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2024%20Mar%202022%2012:02:09%20GMT	https://freedspace.com.au/xmlrpc.php	C:/My%20Web%20Sites/feedspace/freedspace.com.au/xmlrpc.php	(from https://freedspace.com.au/)
17:32:14	19994/19994	---M--	200	added ('OK')	image/jpeg	date:Thu,%2021%20Nov%202019%2001:38:33%20GMT	https://www.freedspace.com.au/wp-content/uploads/2019/11/formlabs-form3-3d-printer-eco-system.jpg	C:/My%20Web%20Sites/feedspace/www.freedspace.com.au/wp-content/uploads/2019/11/formlabs-form3-3d-printer-eco-system.jpg	(from https://freedspace.com.au/)
17:32:14	20785/20785	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2005:15:09%20GMT	http://freedspace.com.au/wp-content/cache/wpfc-minified/2ypiulcu/64l21.css	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/cache/wpfc-minified/2ypiulcu/64l21.css	(from https://freedspace.com.au/)
17:32:14	79008/79008	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2005:15:09%20GMT	http://freedspace.com.au/wp-content/cache/wpfc-minified/kookjn2t/64l21.css	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/cache/wpfc-minified/kookjn2t/64l21.css	(from https://freedspace.com.au/)
17:32:14	15586/15586	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2005:15:09%20GMT	http://freedspace.com.au/wp-content/cache/wpfc-minified/lbekw1g9/64l21.css	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/cache/wpfc-minified/lbekw1g9/64l21.css	(from https://freedspace.com.au/)
17:32:14	48173/48173	---M-Z	200	added ('OK')	text/html	date:Tue,%2022%20Mar%202022%2009:07:40%20GMT	https://freedspace.com.au/amp/	C:/My%20Web%20Sites/feedspace/freedspace.com.au/amp/index.html	(from https://freedspace.com.au/)
17:32:15	2506/2506	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2005:15:09%20GMT	http://freedspace.com.au/wp-content/cache/wpfc-minified/e5fpvfg6/64l21.css	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/cache/wpfc-minified/e5fpvfg6/64l21.css	(from https://freedspace.com.au/)
17:32:18	242565/242565	---MCZ	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2005:15:09%20GMT	http://freedspace.com.au/wp-content/cache/wpfc-minified/epub36kp/64l21.css	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/cache/wpfc-minified/epub36kp/64l21.css	(from https://freedspace.com.au/)
17:32:18	152774/152774	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2005:15:09%20GMT	http://freedspace.com.au/wp-content/cache/wpfc-minified/13zjzatv/64l21.css	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/cache/wpfc-minified/13zjzatv/64l21.css	(from https://freedspace.com.au/)
17:32:18	1256/1256	---M-Z	200	added ('OK')	text/xml	date:Thu,%2024%20Mar%202022%2012:02:14%20GMT	https://freedspace.com.au/feed/	C:/My%20Web%20Sites/feedspace/freedspace.com.au/feed/index.html	(from https://freedspace.com.au/)
17:32:18	841/841	---M-Z	200	added ('OK')	text/xml	date:Thu,%2024%20Mar%202022%2012:02:14%20GMT	https://freedspace.com.au/comments/feed/	C:/My%20Web%20Sites/feedspace/freedspace.com.au/comments/feed/index.html	(from https://freedspace.com.au/)
17:32:18	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2015:07:24%20GMT	https://freedspace.com.au/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-includes/js/jquery/jquery.minaf6c.js	(from https://freedspace.com.au/)
17:32:18	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2009:06:06%20GMT	https://freedspace.com.au/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://freedspace.com.au/)
17:32:19	122953/122953	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20Nov%202021%2023:51:27%20GMT	https://freedspace.com.au/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.utils.js?ver=7.0.3	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.utilsbf7d.js	(from https://freedspace.com.au/)
17:32:19	21751/21751	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20Nov%202021%2023:51:27%20GMT	https://freedspace.com.au/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.transitions.js?ver=7.0.3	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.transitionsbf7d.js	(from https://freedspace.com.au/)
17:32:19	126452/126452	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2028%20Nov%202021%2023:51:27%20GMT	https://freedspace.com.au/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=7.0.3	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/plugins/LayerSlider/assets/static/layerslider/js/layerslider.kreaturamedia.jquerybf7d.js	(from https://freedspace.com.au/)
17:32:19	7778/7778	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Oct%202021%2003:40:19%20GMT	https://freedspace.com.au/wp-content/plugins/equal-height-columns/public/js/equal-height-columns-public.js?ver=1.1.2	C:/My%20Web%20Sites/feedspace/freedspace.com.au/wp-content/plugins/equal-height-columns/public/js/equal-height-columns-publiccfa9.js	(from https://freedspace.com.au/)
