date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:19	121124/121124	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	https://vizulab.com.au/	C:/My%20Web%20Sites/vizual/vizulab.com.au/index.html	(from )
14:19:22	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2025%20Mar%202022%2008:49:19%20GMT	https://vizulab.com.au/robots.txt		(from )
14:19:22	9610/9610	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2006:42:01%20GMT	http://vizulab.com.au/wp-content/uploads/2017/08/virtual-reality2-385-2.jpg	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/uploads/2017/08/virtual-reality2-385-2.jpg	(from https://vizulab.com.au/)
14:19:22	19287/19287	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/lkdmytdv/88bzv.css	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/lkdmytdv/88bzv.css	(from https://vizulab.com.au/)
14:19:22	53161/53161	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Feb%202022%2004:34:45%20GMT	https://vizulab.com.au/amp/	C:/My%20Web%20Sites/vizual/vizulab.com.au/amp/index.html	(from https://vizulab.com.au/)
14:19:23	79227/79227	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2003:15:32%20GMT	https://c0.wp.com/c/5.9/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/vizual/c0.wp.com/c/5.9/wp-includes/css/dist/block-library/style.min.css	(from https://vizulab.com.au/)
14:19:24	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/5.9/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/vizual/c0.wp.com/c/5.9/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://vizulab.com.au/)
14:19:24	814/814	---MC-	200	added ('OK')	text/xml	date:Fri,%2025%20Mar%202022%2008:49:23%20GMT	https://vizulab.com.au/comments/feed/	C:/My%20Web%20Sites/vizual/vizulab.com.au/comments/feed/index.html	(from https://vizulab.com.au/)
14:19:24	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/5.9/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/vizual/c0.wp.com/c/5.9/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://vizulab.com.au/)
14:19:25	50052/50052	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/2xwzkpt5/88bzv.css	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/2xwzkpt5/88bzv.css	(from https://vizulab.com.au/)
14:19:25	324724/324724	---MC-	200	added ('OK')	text/xml	date:Fri,%2025%20Mar%202022%2008:49:23%20GMT	https://vizulab.com.au/feed/	C:/My%20Web%20Sites/vizual/vizulab.com.au/feed/index.html	(from https://vizulab.com.au/)
14:19:27	250880/250880	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/97n90xu5/88bzv.css	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/97n90xu5/88bzv.css	(from https://vizulab.com.au/)
14:19:29	34962/34962	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/qsmxsci8/88bzv.css	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/qsmxsci8/88bzv.css	(from https://vizulab.com.au/)
14:19:29	59016/59016	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2021:16:22%20GMT	https://c0.wp.com/c/5.9/wp-includes/css/dashicons.min.css	C:/My%20Web%20Sites/vizual/c0.wp.com/c/5.9/wp-includes/css/dashicons.min.css	(from https://vizulab.com.au/)
14:19:29	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css?ver=2.0.1	C:/My%20Web%20Sites/vizual/use.fontawesome.com/releases/v5.15.4/css/all7406.css	(from https://vizulab.com.au/)
14:19:30	64916/64916	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2004:47:43%20GMT	http://vizulab.com.au/wp-content/cache/wpfc-minified/jr1jpvss/88bzv.css	C:/My%20Web%20Sites/vizual/vizulab.com.au/wp-content/cache/wpfc-minified/jr1jpvss/88bzv.css	(from https://vizulab.com.au/)
